Comment,Designator,Footprint,LCSC
15pF,"C1,C2",Capacitor_SMD:C_0402_1005Metric,C1548
10μF,C11,Capacitor_SMD:C_0603_1608Metric,C19702
22μF,C12,Capacitor_SMD:C_0603_1608Metric,C59461
30pF,"C3,C4",Capacitor_SMD:C_0402_1005Metric,C1570
100nF,"C7,C8,C9,C10,C13",Capacitor_SMD:C_0402_1005Metric,C1525
19-217/BHC-ZL1M2RY/3T,D1,LED_SMD:LED_0603_1608Metric,C72041
19-217/GHC-YR1S2/3T,D2,LED_SMD:LED_0603_1608Metric,C72043
10KΩ,"R1,R2,R3,R4,R5",Resistor_SMD:R_0402_1005Metric,C25744
SW_Push,"SW1,SW2",Button_Switch_SMD:SW_SPST_TL3342,C318884
STM32F103C8T6,U1,Package_QFP:LQFP-48_7x7mm_P0.5mm,
AMS1117-3.3,U2,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C6186
32.768KHz,XTAL1,Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm,C32346
8MHz,XTAL2,Crystal:Crystal_SMD_HC49-SD,C12674
