Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","15pF","C_0402_1005Metric",143.510000,-80.645000,180.000000,top
"C2","15pF","C_0402_1005Metric",135.890000,-80.645000,0.000000,top
"C3","30pF","C_0402_1005Metric",144.145000,-88.265000,180.000000,top
"C4","30pF","C_0402_1005Metric",135.255000,-88.265000,0.000000,top
"C7","100nF","C_0402_1005Metric",137.160000,-100.330000,180.000000,top
"C8","100nF","C_0402_1005Metric",137.160000,-101.600000,180.000000,top
"C9","100nF","C_0402_1005Metric",142.240000,-100.330000,0.000000,top
"C10","100nF","C_0402_1005Metric",142.240000,-101.600000,0.000000,top
"C11","10μF","C_0603_1608Metric",134.620000,-108.585000,180.000000,top
"C12","22μF","C_0603_1608Metric",134.620000,-106.045000,180.000000,top
"C13","100nF","C_0402_1005Metric",137.795000,-111.760000,0.000000,top
"D1","19-217/BHC-ZL1M2RY/3T","LED_0603_1608Metric",135.890000,-79.375000,180.000000,top
"D2","19-217/GHC-YR1S2/3T","LED_0603_1608Metric",143.510000,-79.375000,0.000000,top
"R1","10KΩ","R_0402_1005Metric",134.620000,-103.505000,180.000000,top
"R2","10KΩ","R_0402_1005Metric",143.510000,-111.760000,180.000000,top
"R3","10KΩ","R_0402_1005Metric",133.985000,-111.760000,180.000000,top
"R4","10KΩ","R_0402_1005Metric",139.065000,-77.470000,90.000000,top
"R5","10KΩ","R_0402_1005Metric",140.335000,-77.470000,90.000000,top
"SW1","SW_Push","SW_SPST_TL3342",135.890000,-118.745000,-90.000000,top
"SW2","SW_Push","SW_SPST_TL3342",143.510000,-118.745000,90.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",139.700000,-93.345000,-135.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",141.605000,-106.045000,180.000000,top
"XTAL1","32.768KHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",139.700000,-80.010000,180.000000,top
"XTAL2","8MHz","Crystal_SMD_HC49-SD",139.700000,-84.455000,0.000000,top
