Designator,Mid X,Mid Y,Rotation,Layer
C1,144.145,-81.026,180.0,top
C10,135.128,-105.664,180.0,top
C11,140.97,-111.76,0.0,top
C12,139.7,-89.916,0.0,top
C13,138.43,-111.76,0.0,top
C2,135.255,-81.026,0.0,top
C3,144.145,-82.296,0.0,top
C4,135.255,-82.296,180.0,top
C7,135.128,-109.474,180.0,top
C8,135.128,-106.934,180.0,top
C9,135.128,-108.204,180.0,top
D1,135.255,-79.375,180.0,top
D2,144.145,-79.375,0.0,top
R1,135.89,-111.76,180.0,top
R2,143.51,-111.76,180.0,top
R4,138.43,-78.74,0.0,top
R5,140.97,-78.74,180.0,top
SW1,135.89,-118.745,270.0,top
SW2,143.51,-118.745,90.0,top
U1,139.7,-97.155,225.0,top
U2,140.97,-107.315,180.0,top
UART1,133.35,-125.73,270.0,bottom
XTAL1,139.7,-81.026,180.0,top
XTAL2,139.7,-85.725,0.0,top
